file,arch,stratum,test,LR,df,p,best_level_by_OR
"n=4,out=361,arch=[3],model=binarized.json","n=4, out=361, arch=[3]",lr=0.005,within_lr_bs,1.128047865171368,2,0.5689151754050099,8
"n=4,out=361,arch=[3],model=binarized.json","n=4, out=361, arch=[3]",lr=0.005,within_lr_clip,8.953455097647009,2,0.011370561946530966,0.8
"n=4,out=361,arch=[3],model=binarized.json","n=4, out=361, arch=[3]",lr=0.006,within_lr_bs,3.889523245162394,2,0.1430213123261751,8
"n=4,out=361,arch=[3],model=binarized.json","n=4, out=361, arch=[3]",lr=0.006,within_lr_clip,8.769742520234502,2,0.012464492708373909,0.8
"n=4,out=361,arch=[4],model=binarized.json","n=4, out=361, arch=[4]",lr=0.004,within_lr_bs,3.9494722177455515,2,0.1387979349540499,16
"n=4,out=361,arch=[4],model=binarized.json","n=4, out=361, arch=[4]",lr=0.004,within_lr_clip,8.853120902794103,2,0.011955540697124123,0.8
"n=4,out=361,arch=[4],model=binarized.json","n=4, out=361, arch=[4]",lr=0.005,within_lr_bs,1.6068919518090752,2,0.44778325210641323,16
"n=4,out=361,arch=[4],model=binarized.json","n=4, out=361, arch=[4]",lr=0.005,within_lr_clip,0.8294431003313605,2,0.66052417794863,0.8
"n=4,out=361,arch=[4],model=binarized.json","n=4, out=361, arch=[4]",lr=0.006,within_lr_bs,3.5652086682711683,2,0.16819952858781662,16
"n=4,out=361,arch=[4],model=binarized.json","n=4, out=361, arch=[4]",lr=0.006,within_lr_clip,1.0344235163881876,2,0.5961805281541572,0.8
"n=4,out=426,arch=[3],model=binarized.json","n=4, out=426, arch=[3]",lr=0.004,within_lr_bs,8.014337316329716,2,0.018184809829144277,8
"n=4,out=426,arch=[3],model=binarized.json","n=4, out=426, arch=[3]",lr=0.004,within_lr_clip,8.014337316329716,2,0.018184809829144277,0.8
"n=4,out=426,arch=[3],model=binarized.json","n=4, out=426, arch=[3]",lr=0.005,within_lr_bs,4.745359028754876,2,0.09323057861478057,8
"n=4,out=426,arch=[3],model=binarized.json","n=4, out=426, arch=[3]",lr=0.005,within_lr_clip,6.774450183791203,2,0.03380234528075987,0.8
"n=4,out=426,arch=[3],model=binarized.json","n=4, out=426, arch=[3]",lr=0.006,within_lr_bs,6.897319872731629,2,0.031788206067598246,8
"n=4,out=426,arch=[3],model=binarized.json","n=4, out=426, arch=[3]",lr=0.006,within_lr_clip,1.200953013049201,2,0.5485501860649203,0.8
"n=4,out=426,arch=[4],model=binarized.json","n=4, out=426, arch=[4]",lr=0.004,within_lr_bs,13.223198919116413,2,0.0013446796677198947,8
"n=4,out=426,arch=[4],model=binarized.json","n=4, out=426, arch=[4]",lr=0.004,within_lr_clip,1.7837912734536872,2,0.40987803599245487,0.8
"n=4,out=426,arch=[4],model=binarized.json","n=4, out=426, arch=[4]",lr=0.005,within_lr_bs,9.67788622567548,2,0.007915415333199172,8
"n=4,out=426,arch=[4],model=binarized.json","n=4, out=426, arch=[4]",lr=0.005,within_lr_clip,1.1626334228029975,2,0.5591616271455041,0.9
"n=4,out=426,arch=[4],model=binarized.json","n=4, out=426, arch=[4]",lr=0.006,within_lr_bs,5.166271333211228,2,0.07553677414014626,8
"n=4,out=426,arch=[4],model=binarized.json","n=4, out=426, arch=[4]",lr=0.006,within_lr_clip,2.1803475160001824,2,0.336158078476393,0.9
