file,model,arch,variable,level_vs_baseline,beta,OR,OR_CI_low,OR_CI_high
"n=3,out=30,arch=[4],model=binarized.json",binarized,"n=3, out=30, arch=[4]",bs,4,-0.4413214999691948,0.6431858890853022,0.30138424816577836,1.3726267727532293
"n=3,out=30,arch=[4],model=binarized.json",binarized,"n=3, out=30, arch=[4]",bs,8,-0.8539257001599566,0.4257403182482826,0.2048561777700309,0.884790590917026
"n=3,out=30,arch=[4],model=binarized.json",binarized,"n=3, out=30, arch=[4]",clip,0.8,-0.25565180590571884,0.7744115673875125,0.3835818926311376,1.5634556459115336
"n=3,out=30,arch=[4],model=binarized.json",binarized,"n=3, out=30, arch=[4]",clip,0.9,6.511838080892422e-16,1.0000000000000007,0.48473916601360756,2.062965136949403
"n=3,out=30,arch=[4],model=binarized.json",binarized,"n=3, out=30, arch=[4]",lr,0.005,0.4264721350986536,1.5318438416705793,0.7690895856330645,3.0510692110497835
"n=3,out=30,arch=[4],model=binarized.json",binarized,"n=3, out=30, arch=[4]",lr,0.006,0.6424216985429172,1.9010791498523163,0.9307889304307753,3.8828372532649005
"n=4,out=1969,arch=[2],model=binarized.json",binarized,"n=4, out=1969, arch=[2]",bs,16,-1.6590164055769212,0.19032609174785897,0.09110630881409064,0.39760167733205287
"n=4,out=1969,arch=[2],model=binarized.json",binarized,"n=4, out=1969, arch=[2]",bs,8,-0.33228805111669957,0.7172806795932172,0.37288708842687024,1.3797516440921456
"n=4,out=1969,arch=[2],model=binarized.json",binarized,"n=4, out=1969, arch=[2]",clip,0.8,0.48435386244880985,1.6231259073497453,0.8172954609137069,3.223482616879599
"n=4,out=1969,arch=[2],model=binarized.json",binarized,"n=4, out=1969, arch=[2]",clip,0.9,0.062388907322774786,1.064376207947057,0.5325828064798801,2.127174775940791
"n=4,out=1969,arch=[2],model=binarized.json",binarized,"n=4, out=1969, arch=[2]",lr,0.005,0.5563723524336033,1.7443331828176811,0.8708429993902113,3.493968780606199
"n=4,out=1969,arch=[2],model=binarized.json",binarized,"n=4, out=1969, arch=[2]",lr,0.006,0.5563723524336014,1.7443331828176778,0.8708429993902096,3.4939687806061923
"n=4,out=1969,arch=[3],model=binarized.json",binarized,"n=4, out=1969, arch=[3]",bs,16,-0.5231752378821808,0.5926357976533722,0.3631556639074333,0.967125735783023
"n=4,out=1969,arch=[3],model=binarized.json",binarized,"n=4, out=1969, arch=[3]",bs,8,-0.43128307764640067,0.6496749762788953,0.39845840164050056,1.0592763838464432
"n=4,out=1969,arch=[3],model=binarized.json",binarized,"n=4, out=1969, arch=[3]",clip,0.8,0.7639352183103725,2.1467073825836906,1.3119518484038142,3.5125927769727765
"n=4,out=1969,arch=[3],model=binarized.json",binarized,"n=4, out=1969, arch=[3]",clip,0.9,1.0415420618766174,2.8335832076549705,1.7199616990607611,4.66823987946291
"n=4,out=1969,arch=[3],model=binarized.json",binarized,"n=4, out=1969, arch=[3]",lr,0.005,0.3981004933044491,1.4889936562817507,0.9148032968115678,2.4235834262674043
"n=4,out=1969,arch=[3],model=binarized.json",binarized,"n=4, out=1969, arch=[3]",lr,0.006,0.6756932252234844,1.9653949651966445,1.202083770891791,3.2134011478706155
"n=4,out=27030,arch=[5],model=binarized.json",binarized,"n=4, out=27030, arch=[5]",bs,16,-0.9619361073658015,0.3821522814145821,0.2291599637741268,0.6372856924271277
"n=4,out=27030,arch=[5],model=binarized.json",binarized,"n=4, out=27030, arch=[5]",bs,8,-0.501833347131689,0.6054196971685417,0.37461666487886075,0.9784215281457752
"n=4,out=27030,arch=[5],model=binarized.json",binarized,"n=4, out=27030, arch=[5]",clip,0.8,-0.6441101749266288,0.5251296077641664,0.32822131963863727,0.8401681683997637
"n=4,out=27030,arch=[5],model=binarized.json",binarized,"n=4, out=27030, arch=[5]",clip,0.9,-1.4645776392038528,0.23117561037552928,0.1351912381617148,0.39530788799028077
"n=4,out=27030,arch=[5],model=binarized.json",binarized,"n=4, out=27030, arch=[5]",lr,0.005,0.48234278708379136,1.6198649589287237,0.9817152172428907,2.6728346867581956
"n=4,out=27030,arch=[5],model=binarized.json",binarized,"n=4, out=27030, arch=[5]",lr,0.006,0.23575925427807304,1.2658695208083326,0.7604325035402577,2.1072555897483203
"n=4,out=27030,arch=[6],model=binarized.json",binarized,"n=4, out=27030, arch=[6]",bs,16,0.4706199513601647,1.600986419327885,1.083666331186823,2.3652645109543746
"n=4,out=27030,arch=[6],model=binarized.json",binarized,"n=4, out=27030, arch=[6]",bs,8,-0.040504337289269624,0.9603049993818109,0.6472794003709677,1.4247103975642952
"n=4,out=27030,arch=[6],model=binarized.json",binarized,"n=4, out=27030, arch=[6]",clip,0.8,-1.168136811465133,0.3109457524417825,0.21190622908712622,0.45627380270087714
"n=4,out=27030,arch=[6],model=binarized.json",binarized,"n=4, out=27030, arch=[6]",clip,0.9,-1.807168229001054,0.16411822462625553,0.10893020686885413,0.24726650603814648
"n=4,out=27030,arch=[6],model=binarized.json",binarized,"n=4, out=27030, arch=[6]",lr,0.005,0.42440718919480436,1.5286839306498663,1.0289468170901848,2.271132502684348
"n=4,out=27030,arch=[6],model=binarized.json",binarized,"n=4, out=27030, arch=[6]",lr,0.006,0.6761107437191526,1.9662157252752408,1.3241322144702574,2.919651252398768
"n=4,out=361,arch=[3],model=binarized.json",binarized,"n=4, out=361, arch=[3]",bs,16,0.10070498911959547,1.1059503262530455,0.7123317349689399,1.7170737510277434
"n=4,out=361,arch=[3],model=binarized.json",binarized,"n=4, out=361, arch=[3]",bs,8,0.3508964607647386,1.4203402573545862,0.9145968833836366,2.205743845527503
"n=4,out=361,arch=[3],model=binarized.json",binarized,"n=4, out=361, arch=[3]",clip,0.8,0.46571196655311303,1.593148053330554,1.0298434222079653,2.464569530763472
"n=4,out=361,arch=[3],model=binarized.json",binarized,"n=4, out=361, arch=[3]",clip,0.9,-0.703743375398018,0.4947298735348235,0.31695786167588286,0.7722087929090982
"n=4,out=361,arch=[3],model=binarized.json",binarized,"n=4, out=361, arch=[3]",lr,0.005,0.4027002010118728,1.4958583676084225,0.9618805454033869,2.32626833616408
"n=4,out=361,arch=[3],model=binarized.json",binarized,"n=4, out=361, arch=[3]",lr,0.006,0.651363504037024,1.9181544581093264,1.2311991367044044,2.9884008325519495
"n=4,out=361,arch=[4],model=binarized.json",binarized,"n=4, out=361, arch=[4]",bs,16,0.43589868322986847,1.5463521154105697,0.9897144707757742,2.4160552719416444
"n=4,out=361,arch=[4],model=binarized.json",binarized,"n=4, out=361, arch=[4]",bs,8,-0.14267951801408074,0.8670318924771409,0.5653317671671855,1.3297400681008946
"n=4,out=361,arch=[4],model=binarized.json",binarized,"n=4, out=361, arch=[4]",clip,0.8,0.1282881739609339,1.1368805748742778,0.7291275877248943,1.7726629238642089
"n=4,out=361,arch=[4],model=binarized.json",binarized,"n=4, out=361, arch=[4]",clip,0.9,-0.29151664378428455,0.7471295784359505,0.4845578243846075,1.1519834762400196
"n=4,out=361,arch=[4],model=binarized.json",binarized,"n=4, out=361, arch=[4]",lr,0.005,0.33759718753222523,1.4015758174678803,0.9101605779055908,2.158316696852719
"n=4,out=361,arch=[4],model=binarized.json",binarized,"n=4, out=361, arch=[4]",lr,0.006,0.518228291439815,1.6790502252564654,1.0828883085573724,2.6034168405507563
"n=4,out=426,arch=[3],model=binarized.json",binarized,"n=4, out=426, arch=[3]",bs,16,-1.090042478214004,0.336202212133892,0.20172304539796257,0.5603322477148374
