file,arch,stratum,test,LR,df,p,best_level_by_OR
"n=4,out=361,arch=[4],model=binarized.json","n=4, out=361, arch=[4]",clip=0.8,within_clip_lr,2.614857816545822,2,0.2705146810887231,0.006
"n=4,out=361,arch=[4],model=binarized.json","n=4, out=361, arch=[4]",clip=0.9,within_clip_bs,3.0412784467634424,2,0.2185721258742479,16
"n=4,out=361,arch=[4],model=binarized.json","n=4, out=361, arch=[4]",clip=0.9,within_clip_lr,15.685692066611637,2,0.00039255023828344004,0.006
"n=4,out=426,arch=[3],model=binarized.json","n=4, out=426, arch=[3]",clip=0.6,within_clip_bs,1.8854737830202168,2,0.38956019103210193,8
"n=4,out=426,arch=[3],model=binarized.json","n=4, out=426, arch=[3]",clip=0.6,within_clip_lr,3.4688157966042183,2,0.17650467807212267,0.005
"n=4,out=426,arch=[3],model=binarized.json","n=4, out=426, arch=[3]",clip=0.8,within_clip_bs,11.725697347345914,2,0.0028431329777262038,8
"n=4,out=426,arch=[3],model=binarized.json","n=4, out=426, arch=[3]",clip=0.8,within_clip_lr,5.370903727635351,2,0.0681903742708364,0.005
"n=4,out=426,arch=[3],model=binarized.json","n=4, out=426, arch=[3]",clip=0.9,within_clip_bs,25.92288689742861,2,2.3491818280652055e-06,8
"n=4,out=426,arch=[3],model=binarized.json","n=4, out=426, arch=[3]",clip=0.9,within_clip_lr,5.162265936174606,2,0.07568820310846736,0.006
"n=4,out=426,arch=[4],model=binarized.json","n=4, out=426, arch=[4]",clip=0.6,within_clip_bs,12.805768520210066,2,0.0016567718143901677,16
"n=4,out=426,arch=[4],model=binarized.json","n=4, out=426, arch=[4]",clip=0.6,within_clip_lr,1.1690513959445497,2,0.5573701609259368,0.006
"n=4,out=426,arch=[4],model=binarized.json","n=4, out=426, arch=[4]",clip=0.8,within_clip_bs,7.5356713227184855,2,0.023102009789622513,8
"n=4,out=426,arch=[4],model=binarized.json","n=4, out=426, arch=[4]",clip=0.8,within_clip_lr,2.730024541658537,2,0.25537754227463083,0.006
"n=4,out=426,arch=[4],model=binarized.json","n=4, out=426, arch=[4]",clip=0.9,within_clip_bs,23.060027662795562,2,9.830568115765104e-06,8
"n=4,out=426,arch=[4],model=binarized.json","n=4, out=426, arch=[4]",clip=0.9,within_clip_lr,9.083729333503754,2,0.010653522751287059,0.006
