canonical,min_architecture,seed,lr,batch_size,clip,model_type,attempts,epochs,delta,patience,accuracy,success
317,[2],0,0.005,4,0.9,binarized,10,10000,0.01,100,100.0,1
316,[2],0,0.005,16,0.9,binarized,10,10000,0.01,100,100.0,1
282,[2],7,0.006,8,0.8,binarized,10,10000,0.01,100,100.0,1
303,[2],3,0.004,4,0.6,binarized,10,10000,0.01,100,100.0,1
363,[3],0,0.006,16,0.6,binarized,10,10000,0.01,100,100.0,1
367,[2],3,0.004,4,0.6,binarized,10,10000,0.01,100,100.0,1
360,[3],0,0.004,16,0.9,binarized,10,10000,0.01,100,100.0,1
301,[3],0,0.005,4,0.6,binarized,10,10000,0.01,100,100.0,1
300,[3],0,0.005,4,0.8,binarized,10,10000,0.01,100,100.0,1
362,[3],0,0.004,16,0.9,binarized,10,10000,0.01,100,100.0,1
318,[3],0,0.004,4,0.6,binarized,10,10000,0.01,100,100.0,1
384,[2],0,0.005,16,0.8,binarized,10,10000,0.01,100,100.0,1
361,[3],0,0.006,8,0.8,binarized,10,10000,0.01,100,100.0,1
382,[3],1,0.005,8,0.9,binarized,10,10000,0.01,100,100.0,1
393,[2],1,0.006,16,0.8,binarized,10,10000,0.01,100,100.0,1
366,[3],0,0.005,4,0.6,binarized,10,10000,0.01,100,100.0,1
395,[2],2,0.006,16,0.9,binarized,10,10000,0.01,100,100.0,1
385,[2],1,0.005,4,0.9,binarized,10,10000,0.01,100,100.0,1
399,[2],0,0.006,4,0.6,binarized,10,10000,0.01,100,100.0,1
386,[2],7,0.006,4,0.6,binarized,10,10000,0.01,100,100.0,1
27030,[5],0,0.004,8,0.6,binarized,10,10000,0.01,100,100.0,1
387,[2],3,0.004,4,0.6,binarized,10,10000,0.01,100,100.0,1
390,[2],8,0.006,16,0.8,binarized,10,10000,0.01,100,100.0,1
409,[2],4,0.005,16,0.9,binarized,10,10000,0.01,100,100.0,1
391,[2],3,0.004,4,0.6,binarized,10,10000,0.01,100,100.0,1
415,[2],1,0.005,8,0.9,binarized,10,10000,0.01,100,100.0,1
4080,[2],0,0.006,16,0.9,binarized,10,10000,0.01,100,100.0,1
411,[2],2,0.004,16,0.8,binarized,10,10000,0.01,100,100.0,1
424,[2],0,0.004,4,0.6,binarized,10,10000,0.01,100,100.0,1
406,[3],1,0.006,8,0.6,binarized,10,10000,0.01,100,100.0,1
426,[2],2,0.004,4,0.8,binarized,10,10000,0.01,100,100.0,1
427,[2],2,0.005,16,0.9,binarized,10,10000,0.01,100,100.0,1
429,[2],0,0.005,4,0.9,binarized,10,10000,0.01,100,100.0,1
414,[3],3,0.006,16,0.9,binarized,10,10000,0.01,100,100.0,1
430,[2],4,0.005,4,0.6,binarized,10,10000,0.01,100,100.0,1
431,[2],0,0.005,4,0.6,binarized,10,10000,0.01,100,100.0,1
410,[2],9,0.004,8,0.8,binarized,10,10000,0.01,100,100.0,1
445,[2],0,0.006,16,0.9,binarized,10,10000,0.01,100,100.0,1
425,[2],4,0.004,4,0.6,binarized,10,10000,0.01,100,100.0,1
407,[3],3,0.006,4,0.8,binarized,10,10000,0.01,100,100.0,1
447,[2],2,0.006,4,0.6,binarized,10,10000,0.01,100,100.0,1
408,[3],0,0.006,4,0.9,binarized,10,10000,0.01,100,100.0,1
489,[2],2,0.004,4,0.6,binarized,10,10000,0.01,100,100.0,1
491,[2],2,0.005,8,0.6,binarized,10,10000,0.01,100,100.0,1
488,[2],2,0.004,4,0.6,binarized,10,10000,0.01,100,100.0,1
446,[3],0,0.005,8,0.6,binarized,10,10000,0.01,100,100.0,1
490,[2],2,0.004,4,0.6,binarized,10,10000,0.01,100,100.0,1
5736,[2],3,0.004,16,0.6,binarized,10,10000,0.01,100,100.0,1
444,[3],2,0.006,8,0.9,binarized,10,10000,0.01,100,100.0,1
495,[2],4,0.004,8,0.8,binarized,10,10000,0.01,100,100.0,1
494,[3],0,0.006,16,0.9,binarized,10,10000,0.01,100,100.0,1
5758,[2],0,0.005,4,0.9,binarized,10,10000,0.01,100,100.0,1
428,[3],3,0.004,4,0.6,binarized,10,10000,0.01,100,100.0,1
5738,[2],3,0.005,8,0.8,binarized,10,10000,0.01,100,100.0,1
5739,[3],1,0.006,4,0.9,binarized,10,10000,0.01,100,100.0,1
510,[3],0,0.004,4,0.8,binarized,10,10000,0.01,100,100.0,1
5763,[3],0,0.004,4,0.6,binarized,10,10000,0.01,100,100.0,1
5737,[3],0,0.006,4,0.8,binarized,10,10000,0.01,100,100.0,1
5742,[3],1,0.005,4,0.6,binarized,10,10000,0.01,100,100.0,1
5761,[3],3,0.004,8,0.8,binarized,10,10000,0.01,100,100.0,1
5766,[3],1,0.006,4,0.9,binarized,10,10000,0.01,100,100.0,1
5767,[3],0,0.006,4,0.9,binarized,10,10000,0.01,100,100.0,1
5769,[3],0,0.006,8,0.8,binarized,10,10000,0.01,100,100.0,1
6,[2],0,0.006,8,0.6,binarized,10,10000,0.01,100,100.0,1
5782,[3],0,0.004,16,0.9,binarized,10,10000,0.01,100,100.0,1
5771,[3],0,0.005,8,0.8,binarized,10,10000,0.01,100,100.0,1
5774,[3],2,0.005,8,0.8,binarized,10,10000,0.01,100,100.0,1
5790,[3],0,0.006,16,0.9,binarized,10,10000,0.01,100,100.0,1
5785,[3],0,0.005,16,0.8,binarized,10,10000,0.01,100,100.0,1
5783,[3],1,0.005,4,0.6,binarized,10,10000,0.01,100,100.0,1
60,[2],0,0.004,8,0.6,binarized,10,10000,0.01,100,100.0,1
5787,[3],0,0.004,16,0.9,binarized,10,10000,0.01,100,100.0,1
5786,[3],1,0.006,8,0.8,binarized,10,10000,0.01,100,100.0,1
5804,[3],0,0.006,8,0.8,binarized,10,10000,0.01,100,100.0,1
61,[2],0,0.006,16,0.9,binarized,10,10000,0.01,100,100.0,1
5865,[3],0,0.005,16,0.9,binarized,10,10000,0.01,100,100.0,1
6030,[2],3,0.006,4,0.8,binarized,10,10000,0.01,100,100.0,1
5801,[3],1,0.005,8,0.8,binarized,10,10000,0.01,100,100.0,1
5820,[3],1,0.006,4,0.9,binarized,10,10000,0.01,100,100.0,1
6014,[3],0,0.004,4,0.6,binarized,10,10000,0.01,100,100.0,1
5805,[3],3,0.005,8,0.8,binarized,10,10000,0.01,100,100.0,1
6625,[3],3,0.006,16,0.6,binarized,10,10000,0.01,100,100.0,1
